,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
607,64.19,65.855,64.12,65.38,5348664.0,65.3026,1630036800000,50440,,63.05760000000002,57.56309999999998,51.393300000000046,55.04087630444806,0.904941590010651
608,65.0,65.3275,63.95,63.98,3925138.0,64.3148,1630296000000,42055,,63.04760000000002,57.388199999999976,51.28350000000004,57.674521432940864,0.9372594528263463
609,63.7,63.88,62.69,62.9,5449999.0,62.9835,1630382400000,48194,,62.94800000000002,57.22939999999998,51.16660000000004,55.58321386294214,0.8966577511427118
610,62.83,63.0,61.81,62.54,3949213.0,62.4943,1630468800000,40961,,62.89120000000002,57.068599999999975,51.04340000000004,55.9083702897977,0.9040838300680747
611,62.76,63.36,62.42,62.62,3414738.0,62.7846,1630555200000,36250,,62.74720000000002,56.88359999999998,50.941350000000035,53.81783729878831,0.8912482605500074
612,62.45,62.825,61.67,62.12,3690597.0,62.184,1630641600000,35532,,62.52000000000002,56.71369999999998,50.847200000000036,50.318109330661066,0.938265431666224
613,61.98,62.3,61.64,61.87,2566638.0,61.9992,1630987200000,30500,,62.38000000000002,56.545099999999984,50.766500000000036,46.25233364179809,1.1068107601575932
614,61.83,62.11,60.51,60.69,4628973.0,60.9183,1631073600000,44656,,62.30000000000002,56.40329999999998,50.68260000000003,55.232260672835324,1.4371822774660998
615,60.25,61.19,60.07,60.28,4439095.0,60.4449,1631160000000,44567,,62.08560000000002,56.23969999999998,50.57860000000002,56.7140835749035,1.5569338173403509
616,60.85,61.44,60.34,60.41,4093257.0,60.777,1631246400000,41769,,61.83600000000002,56.085899999999974,50.46720000000002,59.72720051252669,1.6464067454367282
617,61.27,61.59,60.215,60.72,4628195.0,60.7431,1631505600000,56179,,61.55400000000002,55.92689999999997,50.346600000000024,64.81996850314201,1.6541862755461167
618,61.24,61.3,59.5224,59.65,4575466.0,60.0581,1631592000000,49216,,61.17760000000002,55.75229999999997,50.20960000000003,57.424750606796806,1.508709439059615
619,59.75,60.67,59.67,60.2,5220628.0,60.2874,1631678400000,52129,,60.944400000000016,55.613899999999965,50.08670000000003,56.58631775530581,1.589228685012337
620,60.14,60.32,59.07,59.47,4650841.0,59.6042,1631764800000,47762,,60.71800000000001,55.47329999999997,49.96575000000003,62.46033433270068,1.6973935598827197
621,58.8,59.17,57.47,57.75,9613899.0,57.8648,1631851200000,70791,,60.39800000000001,55.322899999999976,49.84315000000002,62.41000991421076,1.6641437302098936
622,56.26,57.1304,55.31,56.18,7671897.0,56.0737,1632110400000,72289,,60.03920000000001,55.16979999999998,49.71550000000003,61.86408145698329,1.5995354933517092
623,56.59,56.86,55.21,55.53,6156370.0,55.67,1632196800000,55542,,59.66000000000001,55.017199999999974,49.57565000000003,57.28022453185441,1.5172241002221512
624,56.26,56.98,56.255,56.3,6823824.0,56.5663,1632283200000,62029,,59.27960000000001,54.873399999999975,49.44345000000003,61.72229167869233,1.576423389715373
625,56.77,58.045,56.6,57.43,7814123.0,57.5213,1632369600000,68738,,58.81800000000001,54.72479999999998,49.30715000000003,60.44286800365371,1.508907960818128
626,57.2,57.34,56.74,56.81,7964986.0,56.9815,1632456000000,68331,,58.47680000000001,54.58929999999997,49.17080000000003,56.040833291769864,1.4547496066864625
627,56.88,60.38,56.88,59.69,12373976.0,59.3146,1632715200000,99497,,58.204400000000014,54.47109999999998,49.04850000000002,59.837575964406,1.5385729494975209
628,60.15,60.645,59.14,59.46,6681760.0,59.6914,1632801600000,66792,,57.94400000000002,54.33159999999998,48.90505000000002,61.609400943398185,1.5162736823291212
