Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
970.0,92.88,94.78,92.83,94.3,9508992.0,94.1901,1657512000000,90664,,83.87199999999991,83.8079000000001,81.23179999999996,52.044003861782095,0.1366376350284071
971.0,93.78,94.24,93.14,93.6,7826543.0,93.5974,1657598400000,73446,,83.77239999999992,83.7595000000001,81.19054999999996,52.82332178284521,0.1198329785596428
972.0,93.59,94.3599,93.02,93.77,6415637.0,93.7915,1657684800000,66182,,83.68959999999994,83.7063000000001,81.13734999999996,48.91670441437844,0.0803501918877316
973.0,92.55,94.055,92.06,93.88,6270976.0,93.4394,1657771200000,70183,,83.66999999999993,83.67090000000012,81.09629999999997,51.86228685607539,0.1183870686535755
974.0,94.85,95.35,94.37,94.96,9731879.0,94.8289,1657857600000,78550,,83.60879999999993,83.63810000000011,81.05609999999996,54.63522848261794,0.0990321430906817
975.0,94.9,95.1,91.92,92.34,8653654.0,93.0213,1658116800000,88113,,83.47479999999995,83.5979000000001,81.00774999999996,53.25858243211015,0.012815025109063
976.0,93.15,93.39,92.12,92.36,8233636.0,92.5628,1658203200000,79502,,83.42599999999993,83.56080000000009,80.96119999999995,51.90328602254904,-0.0617794058435947
977.0,92.36,92.425,89.22,89.65,11795922.0,90.1438,1658289600000,114297,,83.51519999999994,83.51240000000008,80.90949999999995,49.6570990083026,-0.1204540518108956
978.0,89.15,90.41,88.91,90.14,8197208.0,89.8951,1658376000000,85967,,83.60879999999992,83.46360000000008,80.84644999999995,51.26702241295778,-0.1345376319100921
979.0,90.11,90.45,89.455,90.11,6354637.0,90.011,1658462400000,59780,,83.68359999999993,83.40900000000006,80.79004999999995,47.94630870569454,-0.1933201267725905
980.0,90.2,90.729,89.75,90.53,6364514.0,90.2847,1658721600000,63818,,83.81799999999994,83.36740000000005,80.74104999999994,52.01398729647377,-0.1749178547349288
981.0,91.4,91.95,90.6,91.29,6414143.0,91.3182,1658808000000,61608,,83.90119999999993,83.29900000000005,80.68794999999994,54.39008134878116,-0.2608856041743337
982.0,90.5,91.37,90.01,91.23,6966277.0,90.7872,1658894400000,79755,,83.96999999999993,83.22320000000005,80.63459999999995,45.88554388593599,-0.4289261046708361
983.0,91.04,91.13,87.42,89.94,13909816.0,89.7704,1658980800000,142708,,84.11959999999993,83.16750000000006,80.59704999999994,40.80639311136076,-0.4070588728729518
984.0,90.075,91.08,88.28,89.34,14938566.0,89.2285,1659067200000,126566,,84.27559999999994,83.13320000000004,80.57134999999994,48.28336417273636,-0.2591911134091589
985.0,89.34,90.015,88.35,88.53,7343370.0,88.8167,1659326400000,81853,,84.36639999999994,83.08040000000004,80.54834999999994,50.75696868104973,-0.2693062114985025
986.0,89.06,89.59,87.55,87.61,7442984.0,88.3517,1659412800000,73854,,84.39679999999994,83.02040000000005,80.51749999999994,44.91874469660588,-0.3363359372562229
987.0,87.25,88.015,86.76,87.62,8187599.0,87.5577,1659499200000,85376,,84.54919999999994,82.97030000000004,80.48849999999995,49.04248980754867,-0.2876889917723275
988.0,87.81,87.89,86.64,86.82,7993784.0,87.014,1659585600000,69852,,84.67039999999993,82.92630000000004,80.45619999999994,45.29232229235341,-0.3201768687470832
989.0,86.53,87.53,86.02,87.41,8801196.0,87.1574,1659672000000,97469,,84.77239999999995,82.89530000000005,80.42429999999995,47.367291908338935,-0.2775679136312874
990.0,87.3,88.7798,86.92,88.49,8143671.0,88.1881,1659931200000,74918,,84.87599999999995,82.85450000000004,80.39814999999994,50.64187354208088,-0.2700551321761111
991.0,88.75,90.2434,86.81,89.52,13215464.0,89.1038,1660017600000,139002,,84.90399999999994,82.79810000000003,80.36739999999993,54.311852673369685,-0.3339198346507857
992.0,90.03,90.13,88.185,89.19,8140239.0,89.0846,1660104000000,82810,,84.83599999999996,82.73360000000002,80.33769999999993,49.2298541783126,-0.4920319482144322
993.0,87.81,89.8165,87.36,88.93,7396827.0,88.9546,1660190400000,76389,,84.81319999999997,82.66170000000004,80.31454999999994,44.667336948953306,-0.5655200357343659
994.0,88.99,91.03,88.95,91.02,12317663.0,90.535,1660276800000,75471,,84.93559999999997,82.59780000000002,80.28899999999993,42.07229541085299,-0.5543645396491144
995.0,90.825,90.84,89.89,90.6,6339835.0,90.4297,1660536000000,73246,,85.03599999999994,82.53610000000002,80.26259999999994,39.59652098533411,-0.4801353131599626
996.0,89.96,90.9,89.87,90.59,5661371.0,90.5719,1660622400000,60745,,85.17559999999995,82.46310000000001,80.23414999999993,41.59098416296219,-0.3295353140678685
997.0,90.34,91.89,90.3,91.04,6485998.0,91.1453,1660708800000,67755,,85.26039999999993,82.38300000000001,80.19829999999993,44.079200059637,-0.1915762561129526
998.0,91.5,91.835,90.53,91.4,6111608.0,91.1654,1660795200000,68184,,85.29799999999994,82.28450000000001,80.15509999999993,42.29313095280061,-0.0839764947797476
999.0,91.55,93.02,91.53,92.08,8756912.0,92.2325,1660881600000,82530,,85.35519999999993,82.18720000000002,80.11444999999993,36.33845884096821,0.0942904950641292
1000.0,91.805,92.22,91.01,91.16,6652090.0,91.3589,1661140800000,62125,,85.41239999999992,82.10950000000001,80.07989999999994,42.188432925297846,0.445688863991208
1001.0,90.88,90.99,89.715,90.2,5209038.0,90.1886,1661227200000,54870,,85.45239999999993,82.05040000000001,80.04429999999994,57.03776620084857,0.70648185321825
1002.0,90.2,90.32,89.5431,90.01,5553318.0,90.0254,1661313600000,57630,,85.33719999999992,81.97000000000001,79.99174999999994,54.79789144420722,0.7134360779667048
1003.0,90.505,90.505,89.07,90.27,5884260.0,89.8559,1661400000000,67010,,85.21279999999992,81.90330000000002,79.93544999999993,54.56388623661237,0.7597894909661136
1004.0,90.28,90.74,89.09,89.26,5695502.0,89.7748,1661486400000,64107,,85.1015999999999,81.84120000000003,79.87564999999994,57.90408731389108,0.812992727325863
1005.0,88.83,89.0,87.56,87.59,7850226.0,88.1096,1661745600000,73076,,84.9351999999999,81.78290000000001,79.81544999999994,57.17376634459663,0.8079831457002911
1006.0,87.47,87.5651,86.58,86.88,6753997.0,87.0181,1661832000000,72006,,84.7335999999999,81.72620000000002,79.75654999999995,58.48228831279499,0.8081638884879965
1007.0,87.04,87.13,85.16,85.36,11601967.0,85.6914,1661918400000,107433,,84.5347999999999,81.66850000000002,79.69724999999995,57.61760666177067,0.7711849254499441
1008.0,85.64,87.46,85.36,87.15,7528627.0,86.8921,1662004800000,85387,,84.3455999999999,81.61520000000002,79.64224999999996,54.06415996536408,0.7372054500748249
1009.0,87.24,87.775,85.875,86.23,6997519.0,86.7533,1662091200000,72982,,84.20599999999992,81.57850000000002,79.59004999999996,55.690039782371166,0.7808577495040367
1010.0,86.58,87.27,86.16,86.42,8244266.0,86.5161,1662436800000,76032,,84.01919999999991,81.55150000000002,79.52719999999995,52.20504868036486,0.7885614807827181
1011.0,86.56,87.0,85.07,86.87,6121660.0,86.6025,1662523200000,63559,,83.8771999999999,81.53420000000003,79.46809999999996,60.58346390343575,0.882633348985209
1012.0,86.5,87.45,86.13,87.42,8109379.0,87.0993,1662609600000,58033,,83.71599999999991,81.50000000000004,79.39584999999997,61.56276538105221,0.8086285938693436
1013.0,87.59,88.17,87.27,87.34,7481322.0,87.5241,1662696000000,69095,,83.51639999999992,81.46260000000002,79.32689999999997,57.3138122557239,0.6830642905197237
1014.0,88.13,89.165,87.82,88.16,6351490.0,88.3657,1662955200000,69683,,83.35399999999993,81.43240000000003,79.26669999999997,59.95115066503918,0.6411540082004592
1015.0,87.32,87.605,86.11,86.28,7650025.0,86.7514,1663041600000,86614,,83.14479999999992,81.39340000000001,79.20009999999998,56.01858720890465,0.5233535531936582
1016.0,87.0,87.64,86.38,86.95,9418733.0,87.0031,1663128000000,77694,,82.93159999999993,81.37200000000003,79.13204999999998,49.4986133358264,0.4804394662112798
1017.0,87.15,87.43,86.2,86.75,7986642.0,86.806,1663214400000,65279,,82.83319999999992,81.36090000000003,79.06674999999998,49.23656933071574,0.5815863665906846
1018.0,86.6,87.8702,86.4,87.72,14842456.0,87.4507,1663300800000,89679,,82.88999999999993,81.34980000000002,78.99954999999999,62.73881863490431,0.7083362450154311
1019.0,86.85,86.94,85.64,86.64,7748617.0,86.3697,1663560000000,83607,,82.84119999999993,81.31850000000003,78.92184999999999,58.56565725379569,0.5869393808227983
1020.0,86.07,86.45,85.59,86.0,5454784.0,86.0184,1663646400000,57012,,82.80199999999994,81.28910000000002,78.85724999999998,61.58683225080731,0.5313828104413574
1021.0,86.25,86.495,84.52,84.53,7190830.0,85.3932,1663732800000,77998,,82.80519999999993,81.25300000000001,78.79249999999998,58.441510971402565,0.4018341288207949
1022.0,84.55,88.15,84.55,87.51,12329693.0,87.3001,1663819200000,110559,,82.89199999999994,81.21920000000001,78.73059999999998,56.42864227343451,0.3110744060422519
1023.0,87.4,88.01,86.09,86.78,9038536.0,86.8839,1663905600000,93408,,82.94239999999995,81.19240000000002,78.67039999999999,56.962367595998224,0.2395800048806506
1024.0,86.12,86.71,85.29,86.18,8841196.0,86.2267,1664164800000,85308,,82.95839999999994,81.16380000000001,78.60774999999998,51.74998766082891,0.1346605327815808
1025.0,86.82,87.63,85.67,85.84,6532113.0,86.2777,1664251200000,75427,,82.98759999999994,81.1486,78.54824999999997,59.03712330625393,0.1240227988255782
1026.0,86.99,87.25,86.2,86.78,6840088.0,86.7465,1664337600000,75432,,82.96199999999995,81.11619999999999,78.47319999999996,55.68955985184737,-0.0288133314066527
1027.0,87.0,87.42,86.23,86.64,6601358.0,86.6746,1664424000000,67791,,82.95599999999995,81.08800000000001,78.40379999999996,52.45142741018804,-0.1440505255371249
1028.0,87.25,87.62,86.1,86.12,9035613.0,86.4519,1664510400000,77917,,83.04599999999995,81.0561,78.33069999999996,53.91485865316463,-0.2177670820376818
1029.0,86.72,87.9,86.02,87.55,9187014.0,87.1347,1664769600000,87698,,83.13559999999995,81.0279,78.26659999999997,50.3300976611208,-0.3371977838687456
1030.0,87.54,88.65,87.0,88.39,7372977.0,88.2234,1664856000000,81310,,83.21879999999997,81.01060000000001,78.21584999999997,44.92393975339461,-0.4053119118950263
1031.0,88.58,88.78,88.02,88.39,6065661.0,88.4321,1664942400000,67652,,83.34559999999998,81.0133,78.16599999999997,46.337745526116194,-0.3784275893119257
1032.0,87.76,88.01,87.23,87.44,8055542.0,87.5915,1665028800000,82618,,83.48999999999998,81.0095,78.11239999999997,46.337745526116194,-0.3711908344613164
1033.0,87.88,88.3,87.115,87.6,8837393.0,87.6335,1665115200000,90006,,83.59959999999997,81.0085,78.05974999999997,47.46473978857826,-0.3565549643143697
1034.0,89.93,91.5857,89.71,90.48,14484995.0,90.6193,1665374400000,140601,,83.65039999999998,81.0011,78.00644999999997,43.74402299889318,-0.3611971087549932
1035.0,90.43,91.98,90.2,91.05,9743682.0,91.1216,1665460800000,103048,,83.71319999999997,80.9952,77.95914999999997,44.38476563956212,-0.278377487895483
1036.0,91.25,91.72,90.365,90.42,8522211.0,90.8019,1665547200000,78977,,83.77359999999999,80.9887,77.90984999999998,49.21969320024267,-0.1869476810835948
1037.0,89.5,92.72,89.27,92.49,9382759.0,91.6741,1665633600000,97882,,83.81439999999999,80.9656,77.85109999999997,45.98341494989896,-0.1998943977551874
