,open,high,low,close,volume,vwap,timestamp,transactions,otc
556,74.61,75.92,74.61,75.81,1815124.0,75.5187,1605243600000,22199,
557,77.23,78.14,76.51,77.99,2812489.0,77.6839,1605502800000,29520,
558,77.75,77.88,75.82,76.39,2314059.0,76.6085,1605589200000,27056,
559,76.78,78.11,76.41,76.89,2623562.0,77.2755,1605675600000,24414,
560,76.68,77.36,75.89,77.24,1602830.0,76.9318,1605762000000,20071,
561,77.0,77.05,75.47,75.96,1908382.0,76.029,1605848400000,20747,
562,76.62,77.99,76.52,77.81,2241806.0,77.6292,1606107600000,19041,
563,78.99,80.195,78.51,79.95,4293072.0,79.8449,1606194000000,37380,
564,79.32,79.46,78.21,78.26,1687291.0,78.5978,1606280400000,20342,
565,78.73,79.09,77.84,78.16,664103.0,78.2365,1606453200000,7758,
566,78.0,78.0,75.97,76.82,2767005.0,76.7657,1606712400000,28690,
567,77.95,78.34,75.65,75.77,3109919.0,76.5599,1606798800000,29797,
568,74.55,76.15,74.5,75.9,3090503.0,75.4749,1606885200000,33597,
569,75.94,76.37,75.36,75.48,2610298.0,75.761,1606971600000,28534,
570,75.71,80.44,75.58,80.1,5539187.0,79.4206,1607058000000,57029,
571,79.83,79.97,78.25,79.17,4092237.0,79.1997,1607317200000,42330,
572,78.22,81.48,78.11,81.34,3968158.0,80.8561,1607403600000,38142,
573,81.37,82.0,80.73,81.6,3786679.0,81.5633,1607490000000,35242,
574,81.35,81.84,80.64,81.36,3051554.0,81.2382,1607576400000,22318,
575,80.59,82.65,80.5,82.42,3906427.0,81.906,1607662800000,35405,
576,82.82,83.14,80.32,80.41,3467064.0,80.9989,1607922000000,24491,
577,82.75,82.96,80.86,82.44,3238976.0,82.2272,1608008400000,30104,
578,81.97,82.38,80.59,81.28,1891570.0,81.3668,1608094800000,19071,
579,81.92,82.19,80.44,81.16,2561421.0,80.9927,1608181200000,28526,
580,81.11,81.51,80.06,80.9,5892624.0,80.8283,1608267600000,28069,
581,79.03,81.15,78.41,80.57,3238659.0,80.1094,1608526800000,29864,
582,80.3,80.5,79.05,79.33,2938526.0,79.4719,1608613200000,28087,
583,79.99,80.44,79.325,80.02,2588451.0,80.0054,1608699600000,24166,
584,80.49,80.49,79.54,79.98,480702.0,80.0409,1608786000000,5635,
585,80.55,81.2899,79.85,79.87,1780119.0,80.2499,1609131600000,16479,
586,80.52,80.555,78.44,79.24,1341435.0,79.2282,1609218000000,16949,
587,79.67,80.23,79.44,79.82,1186606.0,79.8088,1609304400000,14003,
588,80.12,80.48,79.11,80.37,1260638.0,80.1304,1609390800000,14002,
589,80.58,80.96,77.76,78.01,2258700.0,78.5319,1609736400000,26193,
590,78.18,79.75,78.005,79.36,2732247.0,79.1622,1609822800000,31982,
591,80.26,83.12,80.21,82.03,3854044.0,82.2205,1609909200000,37887,
592,82.69,83.17,81.4,82.07,2480764.0,82.1893,1609995600000,26612,
593,82.57,82.67,80.6,81.82,2199951.0,81.7635,1610082000000,27536,
594,80.79,83.12,80.51,82.62,1796603.0,82.356,1610341200000,20043,
595,82.62,84.28,82.52,83.97,2695745.0,83.6831,1610427600000,27070,
596,84.18,84.44,82.425,82.64,2249427.0,82.942,1610514000000,25153,
597,82.88,83.9099,82.62,83.34,1915992.0,83.2754,1610600400000,19646,
598,83.97,83.97,81.78,82.75,3223921.0,82.9267,1610686800000,24286,
599,85.0,85.39,83.42,83.43,3154291.0,84.127,1611032400000,29328,
600,83.6,84.72,83.22,84.39,2429893.0,84.3017,1611118800000,25522,
601,84.52,84.88,83.74,84.26,1833344.0,84.2647,1611205200000,21435,
602,83.54,84.26,82.29,83.73,2477355.0,83.6205,1611291600000,26904,
603,83.25,83.5,81.5308,82.48,2189275.0,82.2884,1611550800000,25411,
604,82.98,83.04,81.6749,81.89,2046076.0,82.0624,1611637200000,19773,
605,80.14,80.88,78.33,79.52,4889993.0,79.4709,1611723600000,49545,
606,80.45,82.49,79.82,81.08,2553807.0,81.4938,1611810000000,31220,
607,80.64,81.52,78.95,79.35,3582120.0,79.7593,1611896400000,34226,
608,80.3,81.48,79.28,80.82,3716886.0,80.4911,1612155600000,38271,
609,83.37,84.81,83.0,83.78,4094687.0,83.6364,1612242000000,44924,
610,83.6,83.73,82.06,83.68,3786525.0,83.2611,1612328400000,27029,
611,84.51,85.13,83.73,84.16,4525358.0,84.2219,1612414800000,39651,
612,85.04,86.61,84.59,86.11,3887759.0,85.6395,1612501200000,37683,
613,86.55,87.07,85.78,86.52,3295790.0,86.391,1612760400000,26839,
614,86.42,86.52,85.45,85.9,1602789.0,85.873,1612846800000,19206,
615,86.28,86.43,84.96,85.06,2583760.0,85.4099,1612933200000,28246,
616,85.29,85.715,83.64,85.16,1653837.0,84.8182,1613019600000,20870,
617,84.58,85.5783,84.56,85.33,1425730.0,85.0652,1613106000000,18530,
618,86.0,86.2,84.92,85.07,2794068.0,85.2984,1613451600000,22781,
619,84.93,85.41,84.205,84.87,1914500.0,84.8548,1613538000000,22646,
620,84.45,84.63,83.65,84.38,1371937.0,84.2575,1613624400000,19926,
621,84.75,86.12,84.63,85.45,2564420.0,85.4417,1613710800000,26985,
622,85.44,86.89,84.33,86.17,2091259.0,86.0135,1613970000000,28178,
623,85.96,87.16,85.5,86.8,2716641.0,86.5097,1614056400000,40213,
624,87.05,89.1,86.94,88.97,2870777.0,88.6354,1614142800000,38615,
625,88.47,88.63,86.89,87.33,2850940.0,87.6765,1614229200000,39907,
626,87.36,87.88,85.87,85.9,3272323.0,86.4346,1614315600000,36085,
627,87.07,89.17,86.92,88.44,1900167.0,88.5092,1614574800000,23830,
628,88.33,88.87,87.45,87.63,2058018.0,87.913,1614661200000,24397,
629,87.83,89.53,87.39,88.53,3527570.0,88.669,1614747600000,33905,
630,88.46,89.92,86.76,88.49,3857915.0,88.4746,1614834000000,42421,
631,89.79,91.27,88.06,91.04,3339300.0,90.1503,1614920400000,40660,
632,92.0,93.38,91.08,92.13,4047341.0,92.3476,1615179600000,32051,
633,92.65,92.94,89.98,90.0,3426153.0,91.1015,1615266000000,35558,
634,90.35,92.14,90.08,91.72,3117529.0,91.3281,1615352400000,31568,
635,92.04,92.75,91.02,91.31,2720619.0,91.6938,1615438800000,29577,
636,91.45,92.25,91.13,92.2,2476247.0,91.6964,1615525200000,24465,
637,91.75,92.38,89.64,90.92,2714108.0,90.575,1615780800000,35884,
638,90.55,90.75,88.5442,89.06,3399353.0,89.2452,1615867200000,38900,
639,89.11,90.69,89.0,90.52,2406005.0,90.109,1615953600000,31771,
